0	951	59
1	844	59
2	895	59
3	815	59
4	896	59
5	869	59
6	932	59
7	952	59
8	800	59
9	803	59
10	895	59
11	899	59
12	872	59
13	917	59
14	827	59
15	858	59
16	839	59
17	830	59
18	797	59
19	885	59
20	888	59
21	994	59
22	909	59
23	959	59
24	901	59
25	747	59
26	862	59
27	898	59
28	980	59
29	801	59
30	826	59
31	661	59
32	928	59
33	964	59
34	838	59
35	853	59
36	863	59
37	771	59
38	884	59
39	876	59
40	817	59
41	934	59
42	877	59
43	860	59
44	758	59
45	911	59
46	852	59
47	992	59
48	840	59
49	755	59
50	1567	59
51	1631	59
52	1573	59
53	1626	59
54	1555	59
55	1626	59
56	1583	59
57	1615	59
58	999	59
59	982	59
