0	21	17
1	21	17
2	23	19
3	23	19
4	235	79
5	235	79
6	102	48
7	102	48
8	23	19
9	22	18
10	24	20
11	25	21
12	234	79
13	235	79
14	102	48
15	102	48
16	14	10
17	8	4
18	14	7
19	7	4
20	167	77
21	235	79
22	186	76
23	143	44
24	181	76
25	155	82
26	237	75
27	232	79
28	140	48
29	189	84
30	136	76
31	152	75
32	219	79
33	207	74
34	232	75
35	184	89
36	192	88
37	279	77
38	205	82
39	130	69
40	248	67
41	195	70
42	169	82
43	193	93
44	199	90
45	168	76
46	157	66
47	153	46
48	186	88
49	166	79
50	235	76
51	221	75
52	190	71
53	151	61
54	265	70
55	166	68
56	164	81
57	158	65
58	196	79
59	189	86
60	169	83
61	205	84
62	155	72
63	266	77
64	186	85
65	191	74
66	260	70
67	193	82
68	143	78
69	214	86
70	170	77
71	174	71
72	195	68
73	136	62
74	207	71
75	148	65
76	201	84
77	217	70
78	186	69
79	163	74
80	210	71
81	257	76
82	223	73
83	267	74
84	170	74
85	120	55
86	156	80
87	192	79
88	246	71
89	219	66
90	140	69
91	220	72
92	187	82
93	177	79
94	140	47
95	180	69
96	231	75
97	230	67
98	52	31
99	65	35
100	38	37
101	203	84
102	28	17
103	246	71
104	186	71
105	189	62
106	90	39
107	101	48
108	67	43
109	148	77
110	191	82
111	83	37
112	30	18
113	110	73
114	151	67
115	62	39
